index,case name,i_h2i_rate,i_pci_rate,i_wpi_rate,i_ngi_rate,i_o2_volfract,i_ng_temp,i_h2_temp,i_hbtemp,i_wind_rt,i_blastH2O,i_BdnH2O,i_sgi_rate,i_sgtemp,i_sgi_H2COratio,i_sgi_ReProRatio,o_tuy_velo,o_tuy_temp,o_burn,o_delp,o_co_vf,o_co2_vf,o_h2_vf,o_n2_vf,o_co_util,o_h2_util,o_tgt,o_coke_rt,o_hmt,o_co2_sollos,o_h2o_sollos,o_feo_sollos,o_hm_rt,o_mw_rt,o_wf_rt,o_hm_h2share,o_mw_h2share,o_wf_h2share,o_prod_rt,o_fta
22,H2-0_PCI-0_WPI-0_NG-60_O2-21_NGT-300_H2T-0_HBT-1200_WR-160_MHB-5.7_BM-7_SGI-0_SGT-0_SGC_0 ,0,0,0,60,21,300,0,1200,160,5.7,7,0,0,0,0,0,0,0,9.14E+04,1.91E-01,2.04E-01,6.71E-02,5.38E-01,5.17E+01,4.29E+01,1.17E+02,4.25E+02,1.14E+03,1.66E+01,1.40E+01,3.75E+01,1.41E+02,3.06E+02,8.09E+02,2.84E+01,1.43E+01,4.61E+01,4.69E+03,1.91E+03
23,H2-0_PCI-0_WPI-0_NG-120_O2-21_NGT-300_H2T-0_HBT-1200_WR-230_MHB-5.7_BM-3_SGI-0_SGT-0_SGC_0 ,0,0,0,120,21,300,0,1200,230,5.7,3,0,0,0,0,0,0,0,1.84E+05,2.58E-01,1.12E-01,1.02E-01,5.28E-01,3.03E+01,3.30E+01,3.80E+02,5.35E+02,1.29E+03,2.41E+01,2.06E+01,4.00E+01,1.42E+02,3.06E+02,8.08E+02,2.76E+01,2.58E+01,6.12E+01,4.70E+03,1.85E+03
24,H2-0_PCI-0_WPI-0_NG-100_O2-21_NGT-300_H2T-0_HBT-1200_WR-230_MHB-5.7_BM-7_SGI-0_SGT-0_SGC_0 ,0,0,0,100,21,300,0,1200,230,5.7,7,0,0,0,0,0,0,0,1.69E+05,2.62E-01,1.16E-01,8.83E-02,5.33E-01,3.07E+01,3.31E+01,3.05E+02,5.61E+02,1.41E+03,2.64E+01,1.89E+01,4.65E+01,1.42E+02,3.06E+02,8.02E+02,2.40E+01,2.33E+01,5.78E+01,4.70E+03,1.89E+03
25,H2-0_PCI-0_WPI-0_NG-120_O2-21_NGT-300_H2T-0_HBT-1200_WR-230_MHB-5.7_BM-1_SGI-0_SGT-0_SGC_0 ,0,0,0,120,21,300,0,1200,230,5.7,1,0,0,0,0,0,0,0,2.13E+05,2.65E-01,1.07E-01,1.03E-01,5.24E-01,2.88E+01,3.18E+01,4.11E+02,5.43E+02,1.23E+03,2.24E+01,2.03E+01,4.91E+01,1.41E+02,3.06E+02,8.24E+02,2.77E+01,2.60E+01,6.31E+01,4.71E+03,1.85E+03
26,H2-0_PCI-0_WPI-0_NG-41_O2-21_NGT-300_H2T-0_HBT-1200_WR-195_MHB-5.7_BM-3_SGI-0_SGT-0_SGC_0 ,0,0,0,41,21,300,0,1200,195,5.7,3,0,0,0,0,0,0,0,8.96E+04,2.33E-01,1.70E-01,4.57E-02,5.51E-01,4.21E+01,4.06E+01,2.69E+02,5.37E+02,1.60E+03,2.70E+01,1.20E+01,4.90E+01,1.42E+02,3.08E+02,8.07E+02,1.63E+01,1.27E+01,3.97E+01,4.73E+03,2.05E+03
27,H2-0_PCI-0_WPI-0_NG-60_O2-21_NGT-300_H2T-0_HBT-1200_WR-160_MHB-5.7_BM-5_SGI-0_SGT-0_SGC_0 ,0,0,0,60,21,300,0,1200,160,5.7,5,0,0,0,0,0,0,0,9.13E+04,1.89E-01,2.07E-01,6.67E-02,5.38E-01,5.22E+01,4.34E+01,1.51E+02,4.22E+02,1.13E+03,1.73E+01,1.44E+01,3.63E+01,1.43E+02,3.08E+02,8.11E+02,2.89E+01,1.38E+01,4.63E+01,4.73E+03,1.91E+03
28,H2-0_PCI-0_WPI-0_NG-100_O2-21_NGT-300_H2T-0_HBT-1200_WR-230_MHB-5.7_BM-5_SGI-0_SGT-0_SGC_0 ,0,0,0,100,21,300,0,1200,230,5.7,5,0,0,0,0,0,0,0,1.54E+05,2.61E-01,1.18E-01,8.76E-02,5.34E-01,3.11E+01,3.36E+01,3.32E+02,5.56E+02,1.42E+03,2.58E+01,1.89E+01,4.59E+01,1.43E+02,3.10E+02,8.17E+02,2.41E+01,2.30E+01,5.80E+01,4.75E+03,1.89E+03
29,H2-0_PCI-0_WPI-0_NG-100_O2-21_NGT-300_H2T-0_HBT-1200_WR-230_MHB-5.7_BM-3_SGI-0_SGT-0_SGC_0 ,0,0,0,100,21,300,0,1200,230,5.7,3,0,0,0,0,0,0,0,1.57E+05,2.61E-01,1.18E-01,8.74E-02,5.33E-01,3.11E+01,3.38E+01,3.65E+02,5.56E+02,1.41E+03,2.57E+01,1.88E+01,4.67E+01,1.44E+02,3.10E+02,8.15E+02,2.41E+01,2.29E+01,5.79E+01,4.76E+03,1.89E+03
30,H2-0_PCI-0_WPI-0_NG-100_O2-21_NGT-300_H2T-0_HBT-1200_WR-230_MHB-5.7_BM-1_SGI-0_SGT-0_SGC_0 ,0,0,0,100,21,300,0,1200,230,5.7,1,0,0,0,0,0,0,0,1.65E+05,2.60E-01,1.19E-01,8.69E-02,5.34E-01,3.15E+01,3.42E+01,3.98E+02,5.52E+02,1.42E+03,2.57E+01,1.87E+01,4.54E+01,1.45E+02,3.12E+02,8.21E+02,2.42E+01,2.26E+01,5.74E+01,4.79E+03,1.89E+03
31,H2-0_PCI-0_WPI-0_NG-60_O2-21_NGT-300_H2T-0_HBT-1480_WR-160_MHB-5.7_BM-7_SGI-0_SGT-0_SGC_0 ,0,0,0,60,21,300,0,1480,160,5.7,7,0,0,0,0,0,0,0,6.83E+04,1.99E-01,2.03E-01,6.71E-02,5.31E-01,5.06E+01,4.23E+01,1.22E+02,4.26E+02,1.44E+03,1.95E+01,1.40E+01,4.48E+01,1.47E+02,3.17E+02,8.29E+02,2.74E+01,1.39E+01,4.45E+01,4.86E+03,2.08E+03
